Localidade/UF,CEP
Alagoa,37458-000
Albertina,37596-000
Alpinópolis,37940-000
Alterosa,37145-000
Andradas,37795-000
Guapé,37180-000
Arceburgo,37820-000
Areado,37140-000
Delfinópolis,37915-000
Bandeira do Sul,37740-000
Alfenas,37139-200
Boa Esperança,37170-000
Bom Jesus da Penha,37948-000
Bom Repouso,37610-000
Borda da Mata,37564-000
Botelhos,37720-000
Brazópolis,37530-000
Bueno Brandão,37578-000
Cabo Verde,37880-000
Cachoeira de Minas,37545-000
Caldas,37780-000
Camanducaia,37650-000
Cambuí,37600-000
Campestre,37730-000
Andradas,37797-000
Campo do Meio,37165-000
Campos Gerais,37160-000
Capetinga,37993-000
Capitólio,37930-000
Careaçu,37582-000
Carmo de Minas,37472-000
Carmo do Rio Claro,37150-000
Carvalhos,37456-000
Carvalhópolis,37760-000
Borda da Mata,37565-000
Claraval,37997-000
Conceição da Aparecida,37148-000
Conceição das Pedras,37527-000
Conceição dos Ouros,37548-000
Congonhal,37584-000
Consolação,37670-000
Cordislândia,37498-000
Paraisópolis,37665-000
Cristina,37476-000
Ouro Fino,37572-000
Cássia,37980-000
Córrego do Bom Jesus,37605-000
Campos Gerais,37163-000
Delfim Moreira,37514-000
Delfinópolis,37910-000
Brazópolis,37532-000
Alterosa,37147-000
Divisa Nova,37142-000
Dom Viçoso,37474-000
Doresópolis,37926-000
Machado,37755-000
Elói Mendes,37110-000
Espírito Santo do Dourado,37566-000
Estiva,37542-000
Extrema,37640-000
Fama,37144-000
São Gonçalo do Sapucaí,37493-000
Fortaleza de Minas,37905-000
Alfenas,37139-000
Capetinga,37994-000
Gonçalves,37680-000
Andradas,37796-000
Paraguaçu,37125-000
Guapé,37177-000
Guaranésia,37810-000
São Sebastião do Paraíso,37952-000
Guaxupé,37800-000
Heliodora,37484-000
Ibiraci,37990-000
Ibitiúra de Minas,37790-000
Ilicínea,37175-000
Inconfidentes,37576-000
Ipuiúna,37588-000
Carmo do Rio Claro,37155-000
Cachoeira de Minas,37546-000
Itamogi,37973-000
Itamonte,37466-000
Itanhandu,37464-000
Itapeva,37655-000
Itaú de Minas,37975-000
Wenceslau Braz,37513-000
Itumirim,37210-000
Jacutinga,37590-000
Jacuí,37965-000
Jesuânia,37485-000
Juruaia,37805-000
Monte Belo,37117-000
Lambari,37480-000
Caldas,37782-000
Brazópolis,37535-000
Machado,37750-000
Itumirim,37212-000
Maria da Fé,37517-000
Marmelópolis,37516-000
Monte Santo de Minas,37969-000
